"title","description","pubDate","news_type"
"The Save Our Social Security Act: a First Step Toward Reform?","Image source  Getty Images.  For years, lawmakers have acknowledged the future financial challenges that Social Security faces in meeting its obligations to retirees. Yet more than three decades after the most recent major<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/f3q42UMZPwA\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-21 07:45:06,"Stock"
"Sanity Check: 5 Numbers to Consider Before You Buy a House","Man walking into a stylized house. Image source  Getty Images.  On the life decision scale, buying a house is often closer to marriage than it is to the purchase of a car. It<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/FAzFEmeSC0A\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-21 07:44:56,"Stock"
"Home Sweet Loan? Five Things to Know About Home Equity Loans","Photo source  Getty Images.  Borrowers are going home again   to home equity loans, that is.  Shunned after the financial crisis, home equity loans have been making a comeback  in recent<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/uNA7FBIBLgs\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 21:40:51,"Stock"
"How Important Is Ad Revenue to Alphabet?","In case you hadn't realized, life isn't bad for Alphabet (NASDAQ  GOOG) (NASDAQ  GOOG) shareholders. In the roughly 12 months since its surprise corporate reorganization, Alphabet shares have handily outperformed its benchmark index, the tech<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/_71PIevxKX8\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 20:42:40,"Stock"
"Tesla Motors, Inc. Model X Deliveries Likely to Soar This Quarter","Model X. Image source  Tesla Motors.  Electric car maker Tesla Motors '(NASDAQ  TSLA) quarterly deliveries during the first half of the year have been a disappointment. Sure, first half deliveries are up<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/rDJgJdZ9psU\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 19:42:43,"Stock"
"Snapchat&#39;s Move Into Search Was Only a Matter of Time","As it continues to prepare for what figures to be the marquee tech IPO of 2017, vanishing video service Snapchat recently acquired search start up Vurb for a reported $110 million.    Image source<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/mlfaYz2dfhA\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 18:42:38,"Stock"
"2 Warren Buffett Stocks to Buy in August","If you're looking for new investment ideas, look no further. Why not follow famed investor Warren Buffett into some stocks? After all, Berkshire Hathaway (NYSE  BRK A) (NYSE  BRK B) stock has more than doubled<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/ZScIq_9cpys\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 17:44:32,"Stock"
"How Are Target and Wal-Mart Doing in the Battle Against Amazon?","Image source  Getty Images.  Every year, consumers do more and more of their shopping online. Global online sales grew about 25% last year, according to eMarketer. But some big box retailers are having<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/qrQOf3fODFs\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 17:42:44,"Stock"
"Read This Before You Get an Annuity","Know what you're getting into with an annuity    don't end up surprised. Image source  Getty Images.  Generations before us could often look forward to pension income to support them in<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/rCyAmUPgGtk\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 17:42:36,"Stock"
"What GoPro&#39;s Management Doesn&#39;t Want Shareholders to Focus On","Image source  GoPro.  GoPro (NASDAQ  GPRO) shares have rallied over 30% since July 27th thanks to better than expected second quarter earnings. In its second quarter press release, CEO and Founder Nick Woodman<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/4MhcGrnxSlw\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 16:44:39,"Stock"
"In Your 40s? 3 Stocks You Might Want to Buy","Image source  Emerson Electric.  Investors at varying ages face different demands on their time and money. If you are in your 40s, you probably still have kids at home (and all that comes<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/VVM6vtLlzEI\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 15:44:42,"Stock"
"Is This the Beginning of Obamacare&#39;s Death Spiral?","Image source  White House on Flickr.  Since its inception, the Affordable Care Act has been a controversial law. Though it has undeniably lowered the uninsured rate to record lows    Gallup<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/6UQrjGh56Oc\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 15:44:36,"Stock"
"T-Mobile&#39;s Latest Un-carrier Move Is a Price Increase","Image source  T Mobile.  Wireless carriers in the U.S. have been increasing their prices over the past year or so as the amount of customer switching declines. AT&T (NYSE  T) just increased<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/X8skfCdQByw\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 15:44:27,"Stock"
"Will Procter &amp; Gamble Co Raise Its Dividend in 2017?","Image source  Getty Images.  Dividend stocks of stalwart consumer goods companies are the cornerstones of a healthy retirement portfolio. These companies often have brands and products that have stood the test of time,<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/v8WqhVQrrJE\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 15:42:40,"Stock"
"Intel Corporation Reveals Next-Generation Atom Processor","Image source  Intel.  At its annual developer forum, microprocessor giant Intel (NASDAQ  INTC) talked about its next generation Atom processor core, code named Goldmont. Although the Atom family had primarily been interesting<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/hJe33kZ5ftM\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-20 14:44:54,"Stock"
"Facebook, Alphabet Among Hot Tech Stocks That American Century Growth Mutual Fund Likes","You can learn a lot about a stock mutual fund manager's investment approach by scanning how much of a fund's assets he puts into each sector. Those extra bets point to where the manager thinks he'll find stocks<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/dMAqXR1usak\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 17:44:59,"Mutual Fund"
"P-s-s-st! Here&#39;s What Fidelity Has Been Buying And Selling","Do you invest as successfully as Fidelity Investments does? Would it help your game to know in which large cap stocks Fidelity's approximately 200 stock and stock plus bond mutual funds made some of their biggest second<img src=\"http://feeds.feedburner.com/~r/nasdaq/categories/~4/wRju0XDXE_E\" height=\"1\" width=\"1\" alt=\"\"/>",2016-08-19 14:46:04,"Mutual Fund"
